,postcode,instals,estimated_dwellings,density,capacity,capunder10,cap10_100,capover100,countunder10,count10_100,countover100,pot_kw,pot_sqm,pot_gwh,id,locality,state,long,lat,dc,type,status,sa3,sa3name,sa4,sa4name,region,Lat_precise,Long_precise,SA1_MAINCODE_2011,SA1_MAINCODE_2016,SA2_MAINCODE_2016,SA2_NAME_2016,SA3_CODE_2016,SA3_NAME_2016,SA4_CODE_2016,SA4_NAME_2016,RA_2011,RA_2016,MMM_2015,MMM_2019,ced,altitude,chargezone,phn_code,phn_name,lgaregion,lgacode,electorate,electoraterating
2328,6350,62,192,28.6,331,217,114,0,55,7,0,9118,"58,356",12.8,15629,DUMBLEYUNG,WA,117.783872,-33.281233,DUMBLEYUNG LPO,Delivery Area,Updated 6-Feb-2020,50903,Wheat Belt - South,509,Western Australia - Wheat Belt,R3,-33.3147252,117.7420593,50903124715,50903124715,509031247,Kulin,50903,Wheat Belt - South,509,Western Australia - Wheat Belt,4,4,6,6,O Connor,,W2,PHN503,Country WA,Dumbleyung,53010,Durack,
2329,6351,5,35,,24,24,0,0,5,0,0,4216,"26,982",5.9,15632,MOULYINNING,WA,117.922069,-33.189372,DUMBLEYUNG LPO,Delivery Area,Updated 6-Feb-2020,50903,Wheat Belt - South,509,Western Australia - Wheat Belt,R3,-33.2282185,117.9263271,50903124716,50903124716,509031247,Kulin,50903,Wheat Belt - South,509,Western Australia - Wheat Belt,4,4,6,6,O Connor,276.5397034,W2,PHN503,Country WA,Dumbleyung,53010,Durack,
2330,6352,26,115,20,209,116,93,0,23,3,0,8443,"54,032",11.8,15634,KUKERIN,WA,118.086163,-33.185465,KUKERIN LPO,Delivery Area,Updated 6-Feb-2020,50903,Wheat Belt - South,509,Western Australia - Wheat Belt,R3,-33.1913283,118.0818036,50903124716,50903124716,509031247,Kulin,50903,Wheat Belt - South,509,Western Australia - Wheat Belt,4,4,6,6,O Connor,,W2,PHN503,Country WA,Dumbleyung,53010,Durack,
2331,6353,120,446,24.7,711,541,170,0,110,10,0,21631,"138,438",30.3,15638,BEENONG,WA,118.510341,-33.131383,LAKE GRACE LPO,Delivery Area,Updated 6-Feb-2020,50903,Wheat Belt - South,509,Western Australia - Wheat Belt,R3,-33.036715,118.6274204,50903124707,50903124707,509031247,Kulin,50903,Wheat Belt - South,509,Western Australia - Wheat Belt,4,4,6,6,O Connor,,W2,PHN503,Country WA,Kulin,54760,Durack,
2332,6355,61,272,19.5,412,290,122,0,53,8,0,33052,"211,534",46.5,15648,DUNN ROCK,WA,119.098339,-33.032688,NEWDEGATE LPO,Delivery Area,Updated 6-Feb-2020,50903,Wheat Belt - South,509,Western Australia - Wheat Belt,R3,-33.3576739,119.5535794,50903124703,50903124703,509031247,Kulin,50903,Wheat Belt - South,509,Western Australia - Wheat Belt,5,5,7,7,O Connor,,W2,PHN503,Country WA,Lake Grace,54900,Durack,
2333,6356,19,74,21.6,119,80,39,0,16,3,0,9624,"61,592",13.2,21772,HATTER HILL,WA,120.1323996,-32.88527809,WA Country,Delivery Area,Updated 6-Feb-2020,50903,Wheat Belt - South,509,Western Australia - Wheat Belt,R3,-33.0339,119.882,50903124703,50903124703,509031247,Kulin,50903,Wheat Belt - South,509,Western Australia - Wheat Belt,5,5,7,7,O Connor,309.1755371,W2,PHN503,Country WA,Lake Grace,54900,Durack,
2334,6357,10,47,,50,38,12,0,9,1,0,5781,"36,999",8.1,15661,PINGARING,WA,118.724162,-32.80966,LAKE GRACE LPO,Delivery Area,Updated 6-Feb-2020,50903,Wheat Belt - South,509,Western Australia - Wheat Belt,R3,-32.6899741,118.8130675,50903124713,50903124713,509031247,Kulin,50903,Wheat Belt - South,509,Western Australia - Wheat Belt,4,4,6,6,O Connor,,W2,PHN503,Country WA,Kulin,54760,Durack,
2335,6358,5,63,6.3,40,24,16,0,4,1,0,7132,"45,647",10,15662,KARLGARIN,WA,118.671921,-32.483917,KARLGARIN LPO,Delivery Area,Updated 6-Feb-2020,50903,Wheat Belt - South,509,Western Australia - Wheat Belt,R3,-32.3814744,118.7198004,50903124718,50903124718,509031247,Kulin,50903,Wheat Belt - South,509,Western Australia - Wheat Belt,4,4,6,6,O Connor,287,W2,PHN503,Country WA,Kulin,54760,Durack,
2336,6359,60,181,27.1,457,233,224,0,49,11,0,19565,"125,216",27.5,15663,FORRESTANIA,WA,119.311209,-32.42539,HYDEN LPO,Delivery Area,Updated 6-Feb-2020,50903,Wheat Belt - South,509,Western Australia - Wheat Belt,R3,-32.4158418,119.7549643,50903124714,50903124714,509031247,Kulin,50903,Wheat Belt - South,509,Western Australia - Wheat Belt,5,5,7,7,O Connor,321.8686523,W2,PHN503,Country WA,Kondinin,54620,Durack,
2337,6361,11,72,13.9,55,42,13,0,10,1,0,5738,"36,722",8,15665,HARRISMITH,WA,117.7572,-32.9894,NARROGIN,Delivery Area,Updated 6-Feb-2020,50903,Wheat Belt - South,509,Western Australia - Wheat Belt,R3,-32.9362761,117.8565108,50903124712,50903124712,509031247,Kulin,50903,Wheat Belt - South,509,Western Australia - Wheat Belt,4,4,6,6,O Connor,,W2,PHN503,Country WA,Wickepin,59100,Durack,
2338,6363,20,92,20.7,86,76,10,0,19,1,0,6682,"42,763",9.4,15667,DUDININ,WA,118.004212,-32.919792,NARROGIN,Delivery Area,Updated 6-Feb-2020,50903,Wheat Belt - South,509,Western Australia - Wheat Belt,R3,-32.9524439,118.0043246,50903124709,50903124709,509031247,Kulin,50903,Wheat Belt - South,509,Western Australia - Wheat Belt,4,4,6,6,O Connor,,W2,PHN503,Country WA,Wickepin,59100,Durack,
2339,6365,97,339,26.8,469,311,158,0,91,6,0,23859,"152,698",33.6,15669,JILAKIN,WA,118.288784,-32.723142,KULIN LPO,Delivery Area,Updated 6-Feb-2020,50903,Wheat Belt - South,509,Western Australia - Wheat Belt,R3,-32.6770704,118.4080397,50903124713,50903124713,509031247,Kulin,50903,Wheat Belt - South,509,Western Australia - Wheat Belt,4,4,6,6,O Connor,322.5870361,W2,PHN503,Country WA,Kulin,54760,Durack,
