,postcode,instals,estimated_dwellings,density,capacity,capunder10,cap10_100,capover100,countunder10,count10_100,countover100,pot_kw,pot_sqm,pot_gwh
1738,4809,305,714,33.5,133160,1194,1221,130745,239,65,1,22204,"142,104",34.4
1739,4810,2689,9340,25.1,19937,10754,7829,1354,2346,340,3,159455,"1,020,512",246.1
1740,4811,2465,5735,39.6,165656,10707,3532,151417,2273,190,2,109911,"703,434",171.6
1741,4812,2841,10104,25.6,18016,12145,5123,748,2589,250,2,124467,"796,589",193.3
1742,4814,8451,19286,40.0,51891,35820,14308,1763,7706,738,7,400103,"2,560,660",623.6
1743,4815,4820,8971,50.0,172308,19129,4811,148368,4489,330,1,128839,"824,570",199.7
1744,4816,2073,4684,39.3,12025,8456,3569,0,1839,234,0,105846,"677,413",163.9
1745,4817,6592,12301,49.4,37463,28625,7325,1513,6078,513,1,207722,"1,329,420",321.8
1746,4818,6954,14861,41.7,43543,30218,12211,1114,6202,751,1,265251,"1,697,604",413.2
1747,4819,604,1527,35.6,3471,2532,939,0,544,60,0,20676,"132,330",32.1
1748,4820,1511,5273,25.5,9262,6126,3136,0,1347,164,0,134536,"861,032",208.8
1749,4821,301,707,32.7,41835,1197,1110,39528,231,68,2,36495,"233,570",56.6
1750,4822,154,431,26.7,1468,636,832,0,115,39,0,19835,"126,943",29.4
1751,4823,131,488,18.0,4292,438,722,3132,88,42,1,38693,"247,634",61.6
1752,4824,269,1443,13.7,2446,1028,1418,0,198,71,0,42776,"273,764",68.1
1753,4825,2302,7959,24.0,17417,8475,8742,200,1907,394,1,198643,"1,271,314",317.6
1754,4828,37,194,13.9,448,111,337,0,27,10,0,3328,"21,299",5.3
1755,4829,144,294,39.5,1324,540,784,0,116,28,0,6713,"42,963",10.8
1756,4830,73,456,6.4,1317,116,1201,0,29,44,0,3730,"23,872",5.9
1757,4849,355,972,32.0,2445,1509,936,0,311,44,0,16776,"107,368",26.0
1758,4850,2044,5482,34.2,11004,8045,2959,0,1873,171,0,144066,"922,021",223.2
1759,4852,904,2295,34.1,6086,3980,2106,0,783,121,0,31934,"204,378",47.5
1760,4854,834,2401,29.3,6328,3374,2954,0,703,131,0,82967,"530,988",123.4
1761,4855,138,397,31.2,814,584,230,0,124,14,0,7246,"46,372",10.8
1762,4856,145,401,30.4,910,557,353,0,122,23,0,11229,"71,868",16.7
1763,4858,263,724,29.7,1833,1054,779,0,215,48,0,17595,"112,610",26.0
1764,4859,84,214,36.9,447,370,77,0,79,5,0,1667,"10,666",2.5
1765,4860,1435,4661,25.6,10408,5580,4828,0,1195,240,0,91253,"584,022",135.5
1766,4861,211,946,19.2,1480,875,605,0,182,29,0,17478,"111,859",25.4
1767,4865,1600,3401,40.3,10390,6648,3742,0,1369,231,0,70790,"453,055",103.0
1768,4868,3444,8725,34.8,22693,14409,6674,1610,3039,400,5,136581,"874,115",198.8
1769,4869,3377,7145,41.3,21021,14656,6365,0,2950,427,0,123550,"790,722",179.8
1770,4870,10043,24058,35.1,74802,39521,30701,4580,8451,1585,7,529629,"3,389,628",772.4
1771,4871,1597,5971,22.1,87767,6092,5453,76222,1319,276,2,103507,"662,444",153.4
1772,4872,776,2101,29.4,6429,2822,3607,0,618,158,0,87550,"560,322",129.7
1773,4873,1429,3129,39.8,8722,5709,3013,0,1246,183,0,65455,"418,910",95.4
1774,4874,23,2860,0.5,1925,87,238,1600,15,7,1,40797,"261,098",59.1
1775,4875,145,2460,3.9,1787,480,1307,0,97,48,0,0,0,0.0
1776,4876,35,1256,1.0,696,85,611,0,13,22,0,0,0,0.0
1777,4877,922,2748,27.6,6798,4017,2781,0,758,164,0,58415,"373,855",85.0
1778,4878,2714,7210,32.4,17663,11235,6022,406,2337,376,1,96307,"616,363",140.0
1779,4879,4381,8766,42.0,27778,18652,9126,0,3685,696,0,131275,"840,160",190.8
1780,4880,2496,6126,34.4,17890,9445,8445,0,2110,386,0,169343,"1,083,792",251.7
1781,4881,818,2295,31.5,4937,3153,1784,0,722,96,0,41852,"267,851",60.8
1782,4882,617,1362,38.8,4323,2317,2006,0,529,88,0,42479,"271,866",63.0
1783,4883,1096,4016,24.1,6825,4260,2395,170,968,127,1,123280,"788,993",183.2
1784,4884,465,1113,37.7,2463,1793,670,0,420,45,0,21825,"139,679",32.4
1785,4885,733,1984,33.0,4228,2937,1291,0,655,78,0,48967,"313,390",72.7
1786,4886,128,430,24.2,947,461,486,0,104,24,0,14174,"90,712",21.0
1787,4887,366,938,35.8,1867,1366,501,0,336,30,0,14466,"92,581",21.4
1788,4888,485,1617,26.4,2973,1871,1102,0,427,58,0,39034,"249,819",58.0
1789,4890,110,586,12.3,6253,362,931,4960,72,37,1,13180,"84,353",21.1
1790,4891,84,531,12.1,921,342,579,0,64,20,0,8129,"52,024",13.1
1791,4892,62,1952,1.2,1301,139,1162,0,23,39,0,15815,"101,217",22.9
1792,4895,485,2459,16.7,3344,1909,1435,0,411,74,0,31365,"200,736",45.5
1793,5000,1091,3134,24.7,16650,2949,9905,3796,774,314,3,134692,"862,032",183.9
1794,5006,755,2838,22.8,4914,2585,2329,0,648,107,0,63396,"405,734",87.0
1795,5007,1107,3530,26.6,8437,3751,4686,0,938,169,0,73487,"470,314",101.6
1796,5008,2274,6273,33.3,15804,9258,3946,2600,2087,186,1,107917,"690,669",148.8
1797,5009,1017,2269,38.3,7164,3719,3445,0,870,147,0,77392,"495,311",107.8
1798,5010,1137,2301,43.9,11228,4539,4369,2320,1009,122,6,91472,"585,419",127.8
1799,5011,2151,5609,34.6,13897,9427,3926,544,1938,211,2,89614,"573,529",123.2
1800,5012,1876,5116,34.2,10709,7906,2803,0,1749,127,0,86262,"552,075",119.6
