,postcode,instals,estimated_dwellings,density,capacity,capunder10,cap10_100,capover100,countunder10,count10_100,countover100,pot_kw,pot_sqm,pot_gwh
131,2118,1934,6710,25.6,9971,7133,2838,0,1716,218,0,89403,"572,181",115.0
132,2119,899,3767,20.5,5366,3698,1668,0,774,125,0,44517,"284,909",57.3
133,2120,1584,6858,20.0,10223,6492,3731,0,1369,215,0,87458,"559,734",112.9
134,2121,1865,7491,22.5,10011,7528,2483,0,1682,183,0,98088,"627,764",126.2
135,2122,1739,9953,15.8,8945,6379,2566,0,1572,167,0,100212,"641,354",129.0
136,2125,1945,5455,29.9,11466,7454,4012,0,1631,314,0,75949,"486,074",97.7
137,2126,2165,5911,32.9,11645,8769,2876,0,1946,219,0,74935,"479,583",96.4
138,2127,146,1153,9.8,2558,586,1710,262,113,31,2,55536,"355,428",71.3
139,2128,166,686,11.5,3873,346,3131,396,79,85,2,77746,"497,576",103.1
140,2130,220,1170,17.0,1398,910,488,0,199,21,0,22315,"142,817",28.8
141,2131,587,3044,17.4,3562,2153,1409,0,531,56,0,58298,"373,106",75.1
142,2132,511,2784,16.7,3097,1988,859,250,464,46,1,39496,"252,775",50.9
143,2133,490,3237,13.5,2606,1902,704,0,437,53,0,36563,"234,003",47.1
144,2134,398,2240,15.4,2420,1370,1050,0,344,54,0,43842,"280,591",56.4
145,2135,1124,4686,19.0,8153,4173,3980,0,892,232,0,81996,"524,771",105.7
146,2136,388,2000,16.0,3401,1410,1771,220,320,67,1,48260,"308,863",63.1
147,2137,1210,6108,16.9,7778,4794,2785,199,1033,176,1,91310,"584,384",117.7
148,2138,550,2424,19.7,5298,2169,1666,1463,477,71,2,54229,"347,064",70.0
149,2140,251,1213,16.6,6718,839,1481,4398,201,45,5,63818,"408,436",82.8
150,2141,1643,7119,20.8,9700,5886,3374,440,1482,159,2,141278,"904,181",182.9
151,2142,982,5624,15.1,7317,3571,3250,496,847,133,2,150307,"961,964",196.3
152,2143,621,2528,21.7,3785,2328,1457,0,549,72,0,55944,"358,041",72.9
153,2144,1505,6757,18.5,11087,5234,5592,261,1251,253,1,146761,"939,271",190.4
154,2145,5728,21805,23.4,35622,21795,11981,1846,5093,628,7,361482,"2,313,488",468.8
155,2146,1635,5836,25.9,8971,6468,1968,535,1513,121,1,66047,"422,704",85.1
156,2147,3881,13576,26.0,21898,14889,6517,492,3527,351,3,217098,"1,389,429",281.8
157,2148,5901,20107,26.6,38453,22628,13370,2455,5343,551,7,417923,"2,674,710",543.2
158,2150,343,2444,11.5,3014,1231,1783,0,281,62,0,80409,"514,619",103.5
159,2151,1209,4980,20.4,8569,4689,3311,569,1018,188,3,92158,"589,813",119.1
160,2152,710,3323,19.0,4223,2752,1471,0,632,78,0,55812,"357,196",72.4
161,2153,6504,18151,31.3,38437,25458,11556,1423,5680,820,4,271214,"1,735,770",349.2
162,2154,4042,12192,28.0,26014,15893,9471,650,3416,625,1,218704,"1,399,707",282.5
163,2155,10045,20177,41.3,66866,42954,23206,706,8328,1715,2,269226,"1,723,049",346.7
164,2156,1819,4302,29.1,14694,5385,9309,0,1253,566,0,127171,"813,897",163.3
165,2157,483,1192,27.4,4382,1496,2886,0,327,156,0,62897,"402,539",81.5
166,2158,872,2856,21.6,7985,3151,4535,299,617,254,1,88279,"564,984",113.6
167,2159,602,1628,27.1,4742,2162,2580,0,442,160,0,66315,"424,414",85.2
168,2160,1662,8830,16.4,10786,6506,3171,1109,1451,210,1,118222,"756,624",152.2
169,2161,1838,8598,18.5,13117,6888,5109,1120,1589,247,2,180698,"1,156,468",235.8
170,2162,1226,5716,19.2,7480,4737,2743,0,1100,126,0,88474,"566,234",114.7
171,2163,519,2208,19.7,5146,1770,3178,198,434,84,1,79940,"511,614",104.9
172,2164,2115,6162,26.3,29094,6933,16627,5534,1621,481,13,411235,"2,631,902",542.4
173,2165,2694,10309,23.4,15272,9240,5792,240,2411,282,1,169617,"1,085,548",219.3
174,2166,3511,12918,24.8,17987,12459,5528,0,3199,312,0,185851,"1,189,448",239.4
175,2167,1123,3893,26.6,5778,4641,1137,0,1035,88,0,38476,"246,244",49.4
176,2168,3812,12929,27.1,19370,14746,4424,200,3505,306,1,155010,"992,067",199.5
177,2170,9150,29463,27.2,67908,35003,25113,7792,8026,1113,11,640310,"4,097,986",833.8
178,2171,4342,13250,28.4,27927,18818,7973,1136,3760,580,2,160246,"1,025,577",208.1
179,2172,404,1114,31.1,2426,1708,718,0,346,58,0,14192,"90,828",18.3
180,2173,1518,4530,31.1,7763,6119,1446,198,1408,109,1,84951,"543,683",110.5
181,2174,1544,1259,,13214,7997,3630,1587,1300,242,2,16004,"102,425",20.7
182,2175,257,586,21.7,7002,679,3604,2719,127,126,4,53018,"339,316",68.9
183,2176,4850,14588,29.5,27846,18700,8163,983,4302,546,2,205304,"1,313,948",264.3
184,2177,1637,4825,30.9,8795,6493,2302,0,1492,145,0,64073,"410,064",82.4
185,2178,453,1252,20.6,9151,1230,4159,3762,258,190,5,97505,"624,029",125.9
186,2179,2445,2558,76.6,20222,12536,6992,694,1960,484,1,109710,"702,143",142.2
187,2190,1509,7970,15.9,14773,5472,5535,3766,1271,234,4,171775,"1,099,362",224.4
188,2191,313,2113,13.1,1735,1209,526,0,276,37,0,23908,"153,010",30.8
189,2192,466,2831,14.6,2592,1621,971,0,414,52,0,47895,"306,525",61.9
190,2193,842,4094,19.1,4356,3338,1018,0,784,58,0,55468,"354,996",71.5
191,2194,526,3060,15.0,3731,1718,1461,552,458,67,1,59614,"381,529",77.0
192,2195,603,2736,19.3,3430,2058,1372,0,528,75,0,58170,"372,287",75.1
193,2196,1622,8517,16.9,8838,6064,2774,0,1443,179,0,119589,"765,371",154.4
194,2197,670,3012,20.1,4708,2680,1005,1023,605,64,1,37156,"237,796",47.8
195,2198,620,2833,19.0,3679,2360,1319,0,538,82,0,34957,"223,726",45.0
196,2199,1085,4905,19.5,5900,4054,1846,0,958,127,0,63970,"409,409",82.5
197,2200,2001,9110,18.6,15021,7219,7262,540,1696,304,1,201104,"1,287,065",259.7
198,2203,541,2711,18.9,2582,2086,496,0,513,28,0,37655,"240,991",48.5
199,2204,1145,5936,16.5,9069,4108,4579,382,979,165,1,129162,"826,638",168.3
200,2205,506,2911,15.5,3007,1876,1131,0,450,56,0,51277,"328,171",66.3
201,2206,1141,6450,15.7,6161,4410,1751,0,1014,127,0,77160,"493,826",99.4
202,2207,1388,8869,14.1,7951,5292,2433,226,1250,137,1,103471,"662,214",133.4
203,2208,801,4239,16.9,5256,3049,2207,0,718,83,0,81756,"523,237",106.6
204,2209,1049,4946,19.8,4927,3899,1028,0,980,69,0,58335,"373,346",75.2
205,2210,2130,9215,20.4,12443,7930,4513,0,1882,248,0,139690,"894,015",181.3
206,2211,1269,6374,17.2,8920,4866,3816,238,1096,172,1,107205,"686,111",139.6
207,2212,1231,5802,18.4,8906,4882,3799,225,1070,160,1,115524,"739,354",150.7
208,2213,1865,8072,20.5,10672,7603,2893,176,1656,208,1,91690,"586,814",118.0
209,2214,525,1365,31.7,4197,2022,2175,0,433,92,0,57880,"370,433",76.0
210,2216,799,4728,15.1,4625,3112,1513,0,714,85,0,81072,"518,858",104.7
211,2217,931,5360,14.6,6347,3452,2568,327,782,148,1,93017,"595,312",119.9
212,2218,568,2722,19.0,3047,2215,832,0,516,52,0,47657,"305,004",61.6
213,2219,684,4341,13.2,4323,2641,1682,0,573,111,0,52476,"335,849",67.6
214,2220,1153,5157,19.4,6700,4253,2447,0,1000,153,0,83918,"537,074",108.2
215,2221,1049,5197,16.0,6925,3892,3033,0,833,216,0,70712,"452,556",91.1
216,2222,503,2710,17.0,2702,1976,726,0,461,42,0,37894,"242,524",48.9
217,2223,1315,5912,19.5,8245,5183,2510,552,1154,159,2,84747,"542,384",109.6
218,2224,908,4903,15.1,5999,3627,2372,0,739,169,0,63907,"409,004",82.4
219,2225,438,1828,20.1,2695,1813,882,0,367,71,0,26594,"170,199",34.3
220,2226,1075,4151,23.4,5744,4450,1294,0,971,104,0,51240,"327,934",66.1
221,2227,925,4594,17.4,5582,3874,1708,0,801,124,0,62180,"397,954",80.1
222,2228,1066,5451,16.9,6587,4227,2360,0,920,146,0,87711,"561,353",113.3
223,2229,1809,9293,15.9,13940,7240,5754,946,1474,333,2,183382,"1,173,644",238.0
224,2230,1656,6288,22.2,10562,6821,3741,0,1394,262,0,110095,"704,608",141.9
225,2231,276,774,29.7,2358,1163,917,278,230,45,1,42831,"274,121",56.4
226,2232,2177,8927,21.9,13211,8967,3581,663,1952,223,2,149305,"955,550",193.2
227,2233,2684,9291,25.8,14819,10999,3820,0,2400,284,0,131595,"842,210",169.3
228,2234,3347,10316,27.8,21472,14397,6521,554,2864,481,2,158213,"1,012,561",203.7
229,2250,7515,23908,27.5,52275,28112,20054,4109,6567,941,7,557911,"3,570,631",725.1
230,2251,3836,13875,24.8,20769,15182,5417,170,3438,397,1,181845,"1,163,810",235.4
231,2256,1728,8466,18.7,9489,6574,2462,453,1580,146,2,90004,"576,025",116.6
232,2257,3008,14478,18.9,15922,12217,3705,0,2741,267,0,161887,"1,036,078",209.4
233,2258,648,1972,26.8,4615,2537,1869,209,529,118,1,56863,"363,923",73.9
234,2259,9830,25012,34.9,56692,39116,17275,301,8730,1099,1,476017,"3,046,510",617.5
235,2260,2687,8638,26.8,16188,11010,5178,0,2315,372,0,133860,"856,701",173.1
236,2261,5512,23080,21.4,32609,22621,8303,1685,4942,569,1,312109,"1,997,496",404.9
237,2262,2766,8779,29.6,14087,11564,2523,0,2601,165,0,120407,"770,607",155.9
238,2263,3018,9821,28.4,19179,11270,4063,3846,2794,220,4,143004,"915,224",185.5
239,2264,2641,7032,33.7,14586,10231,4103,252,2370,270,1,129842,"830,991",168.3
240,2265,1356,2756,42.6,8026,5370,2656,0,1175,181,0,55522,"355,339",72.2
241,2267,412,1352,28.2,2188,1589,599,0,381,31,0,19220,"123,010",25.0
242,2278,439,910,44.1,2419,1939,480,0,401,38,0,19792,"126,666",25.8
243,2280,3387,10988,28.1,18093,13956,4137,0,3088,299,0,151050,"966,720",202.8
244,2281,2137,5849,32.7,12430,9102,3328,0,1913,224,0,89649,"573,755",120.5
245,2282,2106,5847,31.7,12056,8324,3582,150,1856,249,1,95903,"613,777",128.8
246,2283,3533,9935,32.7,18754,14489,4126,139,3249,283,1,146867,"939,946",191.2
247,2284,1876,4582,36.6,11348,7774,3238,336,1679,195,2,71847,"459,822",96.8
248,2285,4449,13738,29.1,26807,18681,7791,335,4002,446,1,217712,"1,393,359",294.3
249,2286,638,1810,31.5,3622,2756,866,0,571,67,0,25064,"160,409",32.6
250,2287,4872,15568,28.6,31409,19851,6187,5371,4449,421,2,199006,"1,273,641",267.8
251,2289,1937,7473,23.7,12035,7991,2477,1567,1772,164,1,106134,"679,257",142.7
252,2290,3657,14232,23.5,20833,14641,5618,574,3338,317,2,206079,"1,318,905",277.9
253,2291,1315,5122,22.6,7370,5215,2155,0,1160,155,0,64189,"410,811",86.3
254,2292,264,1097,21.3,1938,1071,867,0,234,30,0,38185,"244,383",51.8
255,2293,225,1418,13.8,1421,778,643,0,196,29,0,25212,"161,357",34.3
256,2294,148,905,14.0,1268,507,761,0,127,21,0,26243,"167,953",35.6
257,2295,957,3571,24.6,5031,4107,924,0,880,77,0,46012,"294,474",61.8
258,2296,173,1006,15.8,862,547,315,0,159,14,0,12260,"78,463",16.6
259,2297,214,680,29.6,952,777,175,0,201,13,0,15376,"98,408",20.8
260,2298,819,3649,21.1,4106,3189,917,0,770,49,0,51469,"329,401",69.3
261,2299,1014,4257,21.7,5526,3900,1626,0,923,91,0,59956,"383,721",80.8
262,2300,578,2435,20.8,3905,2084,1821,0,507,71,0,47379,"303,228",63.6
263,2302,24,15,,608,20,588,0,4,20,0,14450,"92,479",19.4
264,2303,895,3714,21.9,4793,3483,1310,0,812,83,0,49388,"316,085",66.3
265,2304,1504,6650,20.6,9286,5528,3455,303,1370,133,1,182113,"1,165,520",247.2
266,2305,1337,5229,23.8,9272,5417,1457,2398,1243,93,1,70992,"454,346",95.4
267,2306,109,1473,7.1,610,445,165,0,104,5,0,11798,"75,509",15.9
268,2307,397,1837,20.8,1790,1540,250,0,383,14,0,21109,"135,095",28.4
269,2311,195,453,35.5,1346,759,587,0,161,34,0,17682,"113,167",22.9
270,2312,305,624,43.3,1736,1217,519,0,270,35,0,17635,"112,862",23.8
271,2315,2245,8368,25.0,11267,8797,2470,0,2090,155,0,105188,"673,201",141.3
272,2316,1185,3024,35.5,6780,4579,2032,169,1074,110,1,53384,"341,658",71.6
273,2317,1011,3158,29.3,6868,4012,1630,1226,924,85,2,51203,"327,701",68.9
274,2318,2488,4924,42.5,15811,10117,5694,0,2092,396,0,130634,"836,056",176.5
275,2319,1168,3222,34.4,5659,4735,924,0,1107,61,0,42032,"269,003",56.5
276,2320,5698,16098,29.4,44330,24456,17231,2643,4731,962,5,346089,"2,214,972",450.2
277,2321,3211,6919,38.3,21857,13922,7330,605,2653,557,1,131331,"840,519",176.3
278,2322,3906,8139,40.9,27409,15746,11531,132,3330,575,1,250328,"1,602,100",341.0
279,2323,3373,11025,27.9,20439,13838,4684,1917,3074,298,1,178665,"1,143,457",232.2
280,2324,4611,12164,34.8,24697,17903,6458,336,4230,379,2,223535,"1,430,626",300.9
281,2325,4292,12882,29.0,31384,17786,8658,4940,3738,553,1,226411,"1,449,028",294.3
282,2326,1230,3100,34.9,7427,5125,2000,302,1081,148,1,68391,"437,703",88.9
283,2327,992,3212,28.5,5859,4132,1727,0,914,78,0,56938,"364,401",74.4
284,2328,360,1159,25.6,2632,1458,1174,0,297,63,0,41877,"268,014",56.5
285,2329,324,1014,27.0,2117,1284,833,0,274,50,0,44405,"284,192",59.8
286,2330,3200,8288,31.2,25133,12884,10078,2171,2590,607,3,235016,"1,504,103",305.0
287,2333,1700,7218,20.0,11902,7412,4290,200,1446,253,1,174109,"1,114,300",236.3
288,2334,538,1190,37.3,3557,2357,1200,0,444,94,0,20007,"128,043",26.0
289,2335,1352,2569,41.8,9770,5757,4013,0,1073,279,0,62252,"398,411",80.8
290,2336,414,1144,31.5,2775,1789,986,0,360,54,0,34610,"221,501",46.7
291,2337,1040,3272,26.2,7506,4425,3081,0,857,183,0,118285,"757,021",159.6
292,2338,279,758,32.8,1789,1165,624,0,249,30,0,25223,"161,427",34.0
293,2339,128,343,33.8,683,509,174,0,116,12,0,19601,"125,445",26.4
294,2340,7153,24113,26.4,47190,30349,15144,1697,6373,773,7,538373,"3,445,586",798.6
295,2341,246,763,29.4,1611,950,661,0,224,22,0,5059,"32,379",7.5
296,2342,67,265,20.4,525,260,265,0,54,13,0,11529,"73,787",17.0
297,2343,671,2301,26.4,3815,2706,1109,0,608,63,0,67878,"434,416",91.4
298,2344,134,304,41.1,707,545,162,0,125,9,0,19812,"126,796",29.2
299,2345,142,299,41.1,922,592,330,0,123,19,0,12345,"79,005",18.2
300,2346,524,1557,30.1,2946,1978,968,0,469,55,0,58166,"372,262",86.0
301,2347,335,1008,30.0,1836,1369,467,0,302,33,0,29244,"187,161",43.2
302,2350,3798,11574,29.6,167350,15538,7049,144763,3429,367,2,45130,"288,833",66.1
303,2352,451,1225,34.5,2193,1842,351,0,423,28,0,32284,"206,614",47.7
304,2353,236,482,47.3,1067,974,93,0,228,8,0,18484,"118,295",27.3
305,2354,460,1781,23.3,2616,1772,844,0,415,45,0,79289,"507,448",116.3
306,2355,102,326,28.2,523,390,133,0,92,10,0,12484,"79,897",18.4
307,2356,30,99,26.3,172,119,53,0,26,4,0,3301,"21,124",4.9
308,2357,1261,1986,58.8,5888,4082,1806,0,1167,94,0,66469,"425,403",98.0
309,2358,651,1829,32.0,526125,2567,1163,522395,586,64,1,56124,"359,197",82.3
310,2359,162,383,38.4,884,648,236,0,147,15,0,15376,"98,409",22.5
311,2360,2473,5879,38.0,14878,10360,4296,222,2235,237,1,175224,"1,121,434",255.3
312,2361,238,443,48.1,1390,963,427,0,213,25,0,19317,"123,628",28.1
313,2365,632,1794,31.0,4049,2751,1298,0,557,75,0,46570,"298,048",67.6
314,2369,168,381,40.9,980,682,298,0,156,12,0,10107,"64,684",14.7
315,2370,1229,3485,32.0,32651,5080,2190,25381,1114,113,2,112085,"717,344",163.1
316,2371,284,698,38.3,1527,1234,293,0,267,17,0,20782,"133,002",30.2
317,2372,1008,2698,35.0,4937,3972,965,0,945,63,0,73168,"468,277",105.9
318,2379,57,161,28.0,403,260,143,0,45,12,0,17195,"110,046",25.4
319,2380,1668,4579,30.7,165174,6655,4238,154281,1404,262,2,144342,"923,792",213.9
320,2381,237,549,38.4,1946,1010,936,0,211,26,0,32168,"205,872",47.5
321,2382,220,707,27.9,1333,934,399,0,197,23,0,20254,"129,626",29.9
322,2386,55,198,22.7,495,195,300,0,45,10,0,12657,"81,007",18.9
323,2387,20,94,18.1,184,64,120,0,17,3,0,10989,"70,331",16.4
324,2388,737,1196,56.4,3697,2416,1281,0,675,62,0,65507,"419,248",99.3
325,2390,2616,3813,62.5,11802,8223,3579,0,2383,233,0,147910,"946,624",223.9
326,2395,150,416,33.4,770,601,169,0,139,11,0,8594,"55,004",12.2
327,2396,303,441,64.6,1158,900,258,0,285,18,0,11615,"74,338",17.3
328,2397,83,172,37.2,508,259,249,0,64,19,0,14363,"91,926",21.7
329,2398,40,99,34.3,235,162,73,0,34,6,0,10198,"65,268",15.4
330,2399,139,254,48.4,1053,702,351,0,123,16,0,11358,"72,691",17.1
331,2400,2624,4007,56.9,80294,8420,6888,64986,2281,341,2,162302,"1,038,732",245.6
332,2401,57,149,34.9,344,277,67,0,52,5,0,8335,"53,345",12.6
333,2402,413,826,44.2,2521,1693,828,0,365,48,0,33331,"213,318",50.3
334,2403,147,302,44.7,789,611,178,0,135,12,0,18015,"115,296",27.2
335,2404,379,1016,34.2,2204,1521,683,0,347,32,0,32412,"207,438",48.9
336,2405,102,279,32.6,581,408,173,0,91,11,0,21284,"136,216",32.1
337,2406,203,477,37.9,1284,689,595,0,181,22,0,4972,"31,819",7.5
338,2408,53,202,17.3,497,240,257,0,35,18,0,18776,"120,168",28.3
339,2409,154,389,32.6,14522,591,353,13578,127,25,2,14754,"94,427",22.3
340,2410,42,159,22.6,266,158,108,0,36,6,0,7319,"46,839",11.0
341,2411,29,44,,203,107,96,0,22,7,0,3773,"24,150",5.7
342,2415,91,214,36.4,587,320,267,0,78,13,0,9761,"62,471",13.1
343,2420,706,1940,32.6,4154,2919,1235,0,632,74,0,56497,"361,583",75.9
344,2421,414,853,38.6,3011,1641,1370,0,329,85,0,29419,"188,280",38.2
345,2422,1205,2700,39.9,7114,4675,2439,0,1076,129,0,84691,"542,020",114.0
346,2423,735,1890,35.0,4217,2786,1431,0,661,74,0,50146,"320,936",67.3
347,2424,97,220,38.6,485,332,153,0,85,12,0,8225,"52,643",11.1
348,2425,462,814,49.0,3029,1787,1242,0,399,63,0,35542,"227,471",47.7
349,2426,149,345,40.3,783,654,129,0,139,10,0,4652,"29,772",6.3
350,2427,1023,2300,42.8,4707,4225,482,0,984,39,0,27808,"177,974",37.7
351,2428,4349,12316,33.7,21164,17179,3985,0,4147,202,0,192611,"1,232,711",259.3
352,2429,1993,4544,40.1,10714,7982,2732,0,1821,172,0,113806,"728,357",153.9
353,2430,6679,15503,39.8,36834,27072,9300,462,6169,508,2,320766,"2,052,905",435.1
354,2431,1278,2729,44.3,6017,4943,1074,0,1208,70,0,44714,"286,167",60.7
355,2439,1025,1421,68.9,5240,4471,769,0,979,46,0,15148,"96,949",20.5
356,2440,3811,9072,38.7,22318,15192,6372,754,3509,299,3,223282,"1,429,005",302.6
357,2441,1054,2177,45.4,5040,4082,958,0,988,66,0,51410,"329,024",69.5
358,2443,2358,4503,50.4,9534,8000,1534,0,2270,88,0,18718,"119,798",25.3
359,2444,8758,19614,41.3,49054,35525,12497,1032,8098,657,3,320080,"2,048,512",434.3
360,2445,1692,3264,49.7,8296,7161,1135,0,1623,69,0,93,594,0.1
361,2446,3041,5491,50.5,17076,12436,4640,0,2772,269,0,49402,"316,172",66.9
362,2447,1578,3349,44.4,8275,6705,1570,0,1486,92,0,80386,"514,468",112.6
363,2448,1931,4516,40.8,8553,7002,1551,0,1842,89,0,66289,"424,247",92.8
364,2449,476,998,44.3,2389,1868,521,0,442,34,0,25137,"160,880",35.1
365,2450,7630,16684,42.2,44826,31461,12018,1347,7038,589,3,384667,"2,461,872",539.2
366,2452,2558,6021,40.8,12841,10484,2357,0,2456,102,0,96307,"616,365",135.2
367,2453,611,1537,37.4,3026,2399,627,0,575,36,0,48344,"309,401",67.5
368,2454,1787,3430,49.2,8663,6656,2007,0,1687,100,0,70928,"453,939",99.2
369,2455,628,1548,39.0,3011,2542,469,0,604,24,0,22907,"146,607",32.1
370,2456,3214,7261,41.8,16244,13312,2932,0,3035,179,0,125158,"801,009",175.2
371,2460,5941,12620,42.8,34201,24330,9413,458,5402,537,2,306781,"1,963,398",429.7
372,2462,583,1613,33.2,2820,2141,679,0,535,48,0,25678,"164,341",35.9
373,2463,1816,3738,44.6,10160,7658,2502,0,1666,150,0,67199,"430,071",92.0
374,2464,1673,3806,41.9,8061,6182,1879,0,1594,79,0,56018,"358,516",76.8
375,2465,54,145,31.7,406,220,186,0,46,8,0,6722,"43,018",9.2
376,2466,473,1165,38.5,2617,1961,656,0,448,25,0,234,"1,497",0.3
377,2469,905,2302,36.6,4649,3627,1022,0,843,62,0,62915,"402,658",86.0
378,2470,3378,5919,52.8,19108,14284,4612,212,3125,252,1,164386,"1,052,072",225.3
379,2471,580,1047,51.1,3184,2324,860,0,535,45,0,32051,"205,127",43.8
380,2472,505,800,59.9,2273,1954,319,0,479,26,0,19933,"127,571",27.3
381,2473,748,1985,35.9,3152,2606,546,0,712,36,0,21589,"138,169",29.9
382,2474,1664,3069,50.5,8159,6289,1870,0,1551,113,0,82137,"525,679",112.3
383,2475,52,226,19.9,348,210,138,0,45,7,0,3851,"24,648",5.6
384,2476,113,472,21.4,661,459,202,0,101,12,0,10456,"66,919",15.1
385,2477,3206,5580,52.7,16225,12064,4161,0,2943,263,0,122481,"783,877",169.2
386,2478,7203,14855,45.3,37769,28648,8319,802,6730,470,3,215784,"1,381,016",298.5
387,2479,1386,2147,54.7,8679,5387,3292,0,1174,212,0,52976,"339,045",73.1
388,2480,10510,19720,49.1,55842,41148,13909,785,9682,826,2,399343,"2,555,794",547.3
389,2481,2893,5447,45.1,18789,11031,7603,155,2454,438,1,107775,"689,760",149.1
390,2482,1878,3258,51.8,9816,6645,3171,0,1688,190,0,56357,"360,683",77.8
391,2483,2775,5153,48.9,14166,10733,3433,0,2522,253,0,78785,"504,222",112.0
392,2484,4820,7648,56.7,26318,18440,7878,0,4336,484,0,175881,"1,125,641",250.4
393,2485,2483,5561,41.3,12798,9313,3060,425,2297,185,1,75875,"485,602",108.0
394,2486,8126,14076,53.0,40131,30802,9329,0,7464,662,0,208672,"1,335,498",296.7
395,2487,3388,6312,46.2,20449,13273,7176,0,2919,469,0,88153,"564,182",125.4
396,2488,774,1270,55.8,4065,3187,878,0,709,65,0,19021,"121,732",27.0
397,2489,1997,3110,57.7,10865,7845,2845,175,1794,202,1,43803,"280,341",62.3
398,2490,179,281,57.7,938,743,195,0,162,17,0,5447,"34,860",7.7
399,2500,2007,9134,19.3,13884,8016,5494,374,1763,242,2,209106,"1,338,281",275.7
400,2502,1093,4456,22.4,6456,4584,1872,0,1000,93,0,68071,"435,657",89.6
401,2505,481,1786,23.8,3184,1918,1134,132,425,55,1,135169,"865,079",181.8
402,2506,656,2842,21.2,3892,2804,948,140,603,52,1,35025,"224,163",46.1
403,2508,947,2838,30.0,5698,3935,1587,176,852,94,1,59801,"382,727",78.8
404,2515,1445,4117,32.5,7329,5834,1495,0,1340,105,0,56525,"361,758",74.3
405,2516,768,2065,33.6,4852,3361,1291,200,694,73,1,31517,"201,708",41.5
406,2517,1427,4529,29.1,7942,6084,1608,250,1320,106,1,65927,"421,934",86.8
407,2518,1723,8451,18.6,9614,6979,2635,0,1574,149,0,98060,"627,587",129.1
408,2519,1493,6726,20.2,8927,6432,2495,0,1360,133,0,89987,"575,920",118.6
409,2525,1345,4326,28.6,7550,6052,1498,0,1238,107,0,55311,"353,990",72.7
410,2526,2063,5497,33.0,15185,8828,6107,250,1812,250,1,140641,"900,100",187.3
411,2527,3870,8221,42.3,24011,17549,6182,280,3480,389,1,134199,"858,876",177.0
412,2528,2324,9538,23.0,12041,9452,2275,314,2195,128,1,117777,"753,770",154.9
413,2529,3539,11438,28.1,22062,15542,4987,1533,3216,321,2,152758,"977,654",201.0
414,2530,5210,13282,36.3,29012,23222,5790,0,4820,390,0,180533,"1,155,410",237.5
415,2533,2529,6580,35.3,14375,10977,3398,0,2321,208,0,99796,"638,696",131.2
416,2534,909,2685,30.2,5311,3540,1602,169,811,97,1,46957,"300,523",61.7
417,2535,1582,3673,38.1,9413,6489,2705,219,1398,183,1,83163,"532,240",109.2
418,2536,3330,10908,28.6,18871,14350,4281,240,3122,207,1,167034,"1,069,018",215.5
419,2537,2597,7273,33.4,13600,10601,2999,0,2432,165,0,129543,"829,072",167.1
420,2538,515,1181,39.1,2933,2115,818,0,462,53,0,28340,"181,375",36.5
421,2539,3916,12292,29.7,21688,17297,3887,504,3650,265,1,173098,"1,107,826",223.3
422,2540,8415,26577,29.0,50204,34767,11511,3926,7705,709,1,422372,"2,703,180",545.2
423,2541,3812,12511,27.3,24111,15633,7976,502,3413,397,2,220687,"1,412,395",285.6
424,2545,244,595,38.8,1152,961,191,0,231,13,0,15327,"98,090",19.8
425,2546,1853,5792,30.3,9207,7117,1905,185,1755,97,1,95148,"608,949",122.8
426,2548,1410,4492,29.8,6723,5506,1217,0,1340,70,0,61393,"392,913",79.2
427,2549,765,2187,32.5,3912,2921,991,0,711,54,0,44359,"283,900",57.4
428,2550,3546,8140,41.1,16751,12828,3664,259,3349,196,1,189669,"1,213,881",244.8
429,2551,598,1671,33.8,2999,2289,710,0,564,34,0,38944,"249,242",49.5
430,2555,4,71,4.2,50,9,41,0,3,1,0,14554,"93,148",18.8
431,2556,179,766,16.8,1478,549,929,0,129,50,0,40588,"259,766",52.4
432,2557,2470,4808,40.9,19837,12090,6893,854,1966,501,3,129487,"828,715",167.4
433,2558,1501,3779,37.4,7304,6105,1199,0,1412,89,0,45898,"293,745",59.4
434,2559,212,972,19.0,1393,1038,355,0,185,27,0,8041,"51,459",10.4
435,2560,9279,26955,31.3,52154,37502,13165,1487,8434,844,1,426621,"2,730,376",561.5
436,2563,34,104,22.1,350,118,232,0,23,11,0,6784,"43,419",8.8
437,2564,1358,5266,24.2,6669,5364,1305,0,1276,82,0,57687,"369,199",74.3
438,2565,4094,7637,44.4,31229,17494,12905,830,3393,698,3,192694,"1,233,239",253.6
439,2566,3928,9780,36.8,23033,16044,6795,194,3603,324,1,188015,"1,203,295",246.3
440,2567,5458,14129,32.8,36080,22736,13344,0,4639,819,0,271362,"1,736,716",353.8
441,2568,207,407,41.5,1802,656,560,586,169,37,1,14482,"92,688",18.7
442,2569,240,450,44.0,1496,915,581,0,198,42,0,16979,"108,666",22.3
443,2570,7697,18586,33.4,56237,33932,21207,1098,6199,1495,3,340176,"2,177,124",439.9
444,2571,2135,4724,35.7,14931,8272,6659,0,1688,447,0,112268,"718,512",147.8
445,2572,719,1839,33.0,4876,2901,1975,0,606,113,0,48680,"311,552",62.9
446,2573,706,2104,28.8,4253,2853,1400,0,606,100,0,38123,"243,987",49.3
447,2574,953,2122,37.0,6494,3630,2864,0,785,168,0,66986,"428,713",87.9
448,2575,2586,7001,32.0,17706,10561,5668,1477,2241,342,3,159723,"1,022,226",210.7
